"Notes","Year","Year Code","Month","Month Code","ICD Chapter","ICD Chapter Code",Deaths,Population,Crude Rate
,"1999","1999","Jan., 1999","1999/01","Certain infectious and parasitic diseases","A00-B99",5700,Not Applicable,Not Applicable
,"1999","1999","Jan., 1999","1999/01","Neoplasms","C00-D48",49263,Not Applicable,Not Applicable
,"1999","1999","Jan., 1999","1999/01","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",863,Not Applicable,Not Applicable
,"1999","1999","Jan., 1999","1999/01","Endocrine, nutritional and metabolic diseases","E00-E88",8971,Not Applicable,Not Applicable
,"1999","1999","Jan., 1999","1999/01","Mental and behavioural disorders","F01-F99",4259,Not Applicable,Not Applicable
,"1999","1999","Jan., 1999","1999/01","Diseases of the nervous system","G00-G98",8440,Not Applicable,Not Applicable
,"1999","1999","Jan., 1999","1999/01","Diseases of the ear and mastoid process","H60-H93",12,Not Applicable,Not Applicable
,"1999","1999","Jan., 1999","1999/01","Diseases of the circulatory system","I00-I99",94149,Not Applicable,Not Applicable
,"1999","1999","Jan., 1999","1999/01","Diseases of the respiratory system","J00-J98",24656,Not Applicable,Not Applicable
,"1999","1999","Jan., 1999","1999/01","Diseases of the digestive system","K00-K92",7622,Not Applicable,Not Applicable
,"1999","1999","Jan., 1999","1999/01","Diseases of the skin and subcutaneous tissue","L00-L98",417,Not Applicable,Not Applicable
,"1999","1999","Jan., 1999","1999/01","Diseases of the musculoskeletal system and connective tissue","M00-M99",1280,Not Applicable,Not Applicable
,"1999","1999","Jan., 1999","1999/01","Diseases of the genitourinary system","N00-N98",5127,Not Applicable,Not Applicable
,"1999","1999","Jan., 1999","1999/01","Pregnancy, childbirth and the puerperium","O00-O99",44,Not Applicable,Not Applicable
,"1999","1999","Jan., 1999","1999/01","Certain conditions originating in the perinatal period","P00-P96",1098,Not Applicable,Not Applicable
,"1999","1999","Jan., 1999","1999/01","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",903,Not Applicable,Not Applicable
,"1999","1999","Jan., 1999","1999/01","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",2258,Not Applicable,Not Applicable
,"1999","1999","Jan., 1999","1999/01","External causes of morbidity and mortality","V01-Y89",12536,Not Applicable,Not Applicable
,"1999","1999","Feb., 1999","1999/02","Certain infectious and parasitic diseases","A00-B99",5301,Not Applicable,Not Applicable
,"1999","1999","Feb., 1999","1999/02","Neoplasms","C00-D48",44883,Not Applicable,Not Applicable
,"1999","1999","Feb., 1999","1999/02","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",828,Not Applicable,Not Applicable
,"1999","1999","Feb., 1999","1999/02","Endocrine, nutritional and metabolic diseases","E00-E88",8127,Not Applicable,Not Applicable
,"1999","1999","Feb., 1999","1999/02","Mental and behavioural disorders","F01-F99",3938,Not Applicable,Not Applicable
,"1999","1999","Feb., 1999","1999/02","Diseases of the nervous system","G00-G98",7382,Not Applicable,Not Applicable
,"1999","1999","Feb., 1999","1999/02","Diseases of the circulatory system","I00-I99",84346,Not Applicable,Not Applicable
,"1999","1999","Feb., 1999","1999/02","Diseases of the respiratory system","J00-J98",25072,Not Applicable,Not Applicable
,"1999","1999","Feb., 1999","1999/02","Diseases of the digestive system","K00-K92",6931,Not Applicable,Not Applicable
,"1999","1999","Feb., 1999","1999/02","Diseases of the skin and subcutaneous tissue","L00-L98",271,Not Applicable,Not Applicable
,"1999","1999","Feb., 1999","1999/02","Diseases of the musculoskeletal system and connective tissue","M00-M99",1217,Not Applicable,Not Applicable
,"1999","1999","Feb., 1999","1999/02","Diseases of the genitourinary system","N00-N98",4643,Not Applicable,Not Applicable
,"1999","1999","Feb., 1999","1999/02","Pregnancy, childbirth and the puerperium","O00-O99",37,Not Applicable,Not Applicable
,"1999","1999","Feb., 1999","1999/02","Certain conditions originating in the perinatal period","P00-P96",1062,Not Applicable,Not Applicable
,"1999","1999","Feb., 1999","1999/02","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",906,Not Applicable,Not Applicable
,"1999","1999","Feb., 1999","1999/02","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",2131,Not Applicable,Not Applicable
,"1999","1999","Feb., 1999","1999/02","External causes of morbidity and mortality","V01-Y89",11087,Not Applicable,Not Applicable
,"1999","1999","Mar., 1999","1999/03","Certain infectious and parasitic diseases","A00-B99",5935,Not Applicable,Not Applicable
,"1999","1999","Mar., 1999","1999/03","Neoplasms","C00-D48",48973,Not Applicable,Not Applicable
,"1999","1999","Mar., 1999","1999/03","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",908,Not Applicable,Not Applicable
,"1999","1999","Mar., 1999","1999/03","Endocrine, nutritional and metabolic diseases","E00-E88",8856,Not Applicable,Not Applicable
,"1999","1999","Mar., 1999","1999/03","Mental and behavioural disorders","F01-F99",4260,Not Applicable,Not Applicable
,"1999","1999","Mar., 1999","1999/03","Diseases of the nervous system","G00-G98",8332,Not Applicable,Not Applicable
,"1999","1999","Mar., 1999","1999/03","Diseases of the circulatory system","I00-I99",91803,Not Applicable,Not Applicable
,"1999","1999","Mar., 1999","1999/03","Diseases of the respiratory system","J00-J98",26596,Not Applicable,Not Applicable
,"1999","1999","Mar., 1999","1999/03","Diseases of the digestive system","K00-K92",7673,Not Applicable,Not Applicable
,"1999","1999","Mar., 1999","1999/03","Diseases of the skin and subcutaneous tissue","L00-L98",333,Not Applicable,Not Applicable
