"Sex";"Age, 31 December";"Periods";"Deaths (aantal)"
"Total male and female";"0 to 64 years";"2017 week 31";"     386"
"Total male and female";"0 to 64 years";"2017 week 32";"     416"
"Total male and female";"0 to 64 years";"2017 week 33";"     404"
"Total male and female";"0 to 64 years";"2017 week 34";"     384"
"Total male and female";"0 to 64 years";"2017 week 35";"     401"
"Total male and female";"0 to 64 years";"2017 week 36";"     384"
"Total male and female";"0 to 64 years";"2017 week 37";"     416"
"Total male and female";"0 to 64 years";"2017 week 38";"     443"
"Total male and female";"0 to 64 years";"2017 week 39";"     401"
"Total male and female";"0 to 64 years";"2017 week 40";"     421"
"Total male and female";"0 to 64 years";"2017 week 41";"     416"
"Total male and female";"0 to 64 years";"2017 week 42";"     394"
"Total male and female";"0 to 64 years";"2017 week 43";"     397"
"Total male and female";"0 to 64 years";"2017 week 44";"     427"
"Total male and female";"0 to 64 years";"2017 week 45";"     445"
"Total male and female";"0 to 64 years";"2017 week 46";"     430"
"Total male and female";"0 to 64 years";"2017 week 47";"     411"
"Total male and female";"0 to 64 years";"2017 week 48";"     419"
"Total male and female";"0 to 64 years";"2017 week 49";"     457"
"Total male and female";"0 to 64 years";"2017 week 50";"     458"
"Total male and female";"0 to 64 years";"2017 week 51";"     424"
"Total male and female";"0 to 64 years";"2017 week 52";"     437"
"Total male and female";"0 to 64 years";"2017";"   21694"
"Total male and female";"0 to 64 years";"2018 week 1";"     431"
"Total male and female";"0 to 64 years";"2018 week 2";"     406"
"Total male and female";"0 to 64 years";"2018 week 3";"     423"
"Total male and female";"0 to 64 years";"2018 week 4";"     408"
"Total male and female";"0 to 64 years";"2018 week 5";"     456"
"Total male and female";"0 to 64 years";"2018 week 6";"     443"
"Total male and female";"0 to 64 years";"2018 week 7";"     427"
"Total male and female";"0 to 64 years";"2018 week 8";"     434"
"Total male and female";"0 to 64 years";"2018 week 9";"     468"
"Total male and female";"0 to 64 years";"2018 week 10";"     464"
"Total male and female";"0 to 64 years";"2018 week 11";"     445"
"Total male and female";"0 to 64 years";"2018 week 12";"     438"
"Total male and female";"0 to 64 years";"2018 week 13";"     411"
"Total male and female";"0 to 64 years";"2018 week 14";"     445"
"Total male and female";"0 to 64 years";"2018 week 15";"     402"
"Total male and female";"0 to 64 years";"2018 week 16";"     380"
"Total male and female";"0 to 64 years";"2018 week 17";"     400"
"Total male and female";"0 to 64 years";"2018 week 18";"     395"
"Total male and female";"0 to 64 years";"2018 week 19";"     371"
"Total male and female";"0 to 64 years";"2018 week 20";"     350"
"Total male and female";"0 to 64 years";"2018 week 21";"     391"
"Total male and female";"0 to 64 years";"2018 week 22";"     416"
"Total male and female";"0 to 64 years";"2018 week 23";"     399"
"Total male and female";"0 to 64 years";"2018 week 24";"     372"
"Total male and female";"0 to 64 years";"2018 week 25";"     362"
"Total male and female";"0 to 64 years";"2018 week 26";"     383"
"Total male and female";"0 to 64 years";"2018 week 27";"     406"
"Total male and female";"0 to 64 years";"2018 week 28";"     408"
"Total male and female";"0 to 64 years";"2018 week 29";"     391"
"Total male and female";"0 to 64 years";"2018 week 30";"     405"
"Total male and female";"0 to 64 years";"2018 week 31";"     402"
"Total male and female";"0 to 64 years";"2018 week 32";"     424"
"Total male and female";"0 to 64 years";"2018 week 33";"     404"
"Total male and female";"0 to 64 years";"2018 week 34";"     375"
"Total male and female";"0 to 64 years";"2018 week 35";"     407"
"Total male and female";"0 to 64 years";"2018 week 36";"     417"
"Total male and female";"0 to 64 years";"2018 week 37";"     368"
"Total male and female";"0 to 64 years";"2018 week 38";"     428"
"Total male and female";"0 to 64 years";"2018 week 39";"     447"
"Total male and female";"0 to 64 years";"2018 week 40";"     441"
"Total male and female";"0 to 64 years";"2018 week 41";"     432"
"Total male and female";"0 to 64 years";"2018 week 42";"     384"
"Total male and female";"0 to 64 years";"2018 week 43";"     430"
"Total male and female";"0 to 64 years";"2018 week 44";"     408"
"Total male and female";"0 to 64 years";"2018 week 45";"     407"
"Total male and female";"0 to 64 years";"2018 week 46";"     431"
"Total male and female";"0 to 64 years";"2018 week 47";"     403"
"Total male and female";"0 to 64 years";"2018 week 48";"     423"
"Total male and female";"0 to 64 years";"2018 week 49";"     438"
"Total male and female";"0 to 64 years";"2018 week 50";"     470"
"Total male and female";"0 to 64 years";"2018 week 51";"     425"
"Total male and female";"0 to 64 years";"2018 week 52";"     408"
"Total male and female";"0 to 64 years";"2018 week 53 (1 day)";"      66"
"Total male and female";"0 to 64 years";"2018";"   21568"
"Total male and female";"0 to 64 years";"2019 week 1 (6 days)";"     341"
"Total male and female";"0 to 64 years";"2019 week 2";"     463"
"Total male and female";"0 to 64 years";"2019 week 3";"     396"
"Total male and female";"0 to 64 years";"2019 week 4";"     420"
"Total male and female";"0 to 64 years";"2019 week 5";"     438"
"Total male and female";"0 to 64 years";"2019 week 6";"     400"
"Total male and female";"0 to 64 years";"2019 week 7";"     405"
"Total male and female";"0 to 64 years";"2019 week 8";"     414"
"Total male and female";"0 to 64 years";"2019 week 9";"     400"
"Total male and female";"0 to 64 years";"2019 week 10";"     429"
"Total male and female";"0 to 64 years";"2019 week 11";"     414"
"Total male and female";"0 to 64 years";"2019 week 12";"     400"
"Total male and female";"0 to 64 years";"2019 week 13";"     396"
"Total male and female";"0 to 64 years";"2019 week 14";"     384"
"Total male and female";"0 to 64 years";"2019 week 15";"     403"
"Total male and female";"0 to 64 years";"2019 week 16";"     425"
"Total male and female";"0 to 64 years";"2019 week 17";"     367"
"Total male and female";"0 to 64 years";"2019 week 18";"     377"
"Total male and female";"0 to 64 years";"2019 week 19";"     378"
"Total male and female";"0 to 64 years";"2019 week 20";"     387"
"Total male and female";"0 to 64 years";"2019 week 21";"     404"
"Total male and female";"0 to 64 years";"2019 week 22";"     387"
"Total male and female";"0 to 64 years";"2019 week 23";"     417"
"Total male and female";"0 to 64 years";"2019 week 24";"     368"
"Total male and female";"0 to 64 years";"2019 week 25";"     365"
"Total male and female";"0 to 64 years";"2019 week 26";"     411"
"Total male and female";"0 to 64 years";"2019 week 27";"     385"
"Total male and female";"0 to 64 years";"2019 week 28";"     402"
"Total male and female";"0 to 64 years";"2019 week 29";"     402"
"Total male and female";"0 to 64 years";"2019 week 30";"     433"
"Total male and female";"0 to 64 years";"2019 week 31";"     379"
"Total male and female";"0 to 64 years";"2019 week 32";"     371"
"Total male and female";"0 to 64 years";"2019 week 33";"     360"
"Total male and female";"0 to 64 years";"2019 week 34";"     373"
"Total male and female";"0 to 64 years";"2019 week 35";"     383"
"Total male and female";"0 to 64 years";"2019 week 36";"     377"
"Total male and female";"0 to 64 years";"2019 week 37";"     380"
"Total male and female";"0 to 64 years";"2019 week 38";"     355"
"Total male and female";"0 to 64 years";"2019 week 39";"     395"
"Total male and female";"0 to 64 years";"2019 week 40";"     409"
"Total male and female";"0 to 64 years";"2019 week 41";"     411"
"Total male and female";"0 to 64 years";"2019 week 42";"     383"
"Total male and female";"0 to 64 years";"2019 week 43";"     402"
"Total male and female";"0 to 64 years";"2019 week 44";"     394"
"Total male and female";"0 to 64 years";"2019 week 45";"     467"
"Total male and female";"0 to 64 years";"2019 week 46";"     458"
"Total male and female";"0 to 64 years";"2019 week 47";"     389"
"Total male and female";"0 to 64 years";"2019 week 48";"     424"
"Total male and female";"0 to 64 years";"2019 week 49";"     407"
"Total male and female";"0 to 64 years";"2019 week 50";"     430"
"Total male and female";"0 to 64 years";"2019 week 51";"     454"
"Total male and female";"0 to 64 years";"2019 week 52";"     410"
"Total male and female";"0 to 64 years";"2019 week 53 (2 days)";"     113"
"Total male and female";"0 to 64 years";"2019";"   20935"
"Total male and female";"0 to 64 years";"2020 week 1 (5 days)";"     272"
"Total male and female";"0 to 64 years";"2020 week 2";"     432"
"Total male and female";"0 to 64 years";"2020 week 3";"     418"
"Total male and female";"0 to 64 years";"2020 week 4";"     354"
"Total male and female";"0 to 64 years";"2020 week 5";"     450"
"Total male and female";"0 to 64 years";"2020 week 6";"     401"
"Total male and female";"0 to 64 years";"2020 week 7";"     408"
"Total male and female";"0 to 64 years";"2020 week 8";"     340"
"Total male and female";"0 to 64 years";"2020 week 9";"     404"
"Total male and female";"0 to 64 years";"2020 week 10";"     394"
"Total male and female";"0 to 64 years";"2020 week 11";"     410"
"Total male and female";"0 to 64 years";"2020 week 12";"     448"
"Total male and female";"0 to 64 years";"2020 week 13";"     501"
"Total male and female";"0 to 64 years";"2020 week 14";"     499"
"Total male and female";"0 to 64 years";"2020 week 15";"     485"
"Total male and female";"0 to 64 years";"2020 week 16";"     426"
"Total male and female";"0 to 64 years";"2020 week 17";"     455"
"Total male and female";"0 to 64 years";"2020 week 18";"     445"
"Total male and female";"0 to 64 years";"2020 week 19";"     391"
"Total male and female";"0 to 64 years";"2020 week 20";"     374"
"Total male and female";"0 to 64 years";"2020 week 21";"     367"
"Total male and female";"0 to 64 years";"2020 week 22";"     371"
"Total male and female";"0 to 64 years";"2020 week 23";"     386"
"Total male and female";"0 to 64 years";"2020 week 24";"     405"
"Total male and female";"0 to 64 years";"2020 week 25";"     375"
"Total male and female";"0 to 64 years";"2020 week 26";"     381"
"Total male and female";"0 to 64 years";"2020 week 27";"     402"
"Total male and female";"0 to 64 years";"2020 week 28";"     390"
"Total male and female";"0 to 64 years";"2020 week 29";"     373"
"Total male and female";"0 to 64 years";"2020 week 30";"     407"
"Total male and female";"0 to 64 years";"2020 week 31";"     376"
"Total male and female";"0 to 64 years";"2020 week 32";"     420"
"Total male and female";"0 to 64 years";"2020 week 33";"     463"
"Total male and female";"0 to 64 years";"2020 week 34";"     417"
"Total male and female";"0 to 64 years";"2020 week 35";"     353"
"Total male and female";"0 to 64 years";"2020 week 36";"     416"
"Total male and female";"0 to 64 years";"2020 week 37";"     396"
"Total male and female";"0 to 64 years";"2020 week 38";"     395"
"Total male and female";"0 to 64 years";"2020 week 39";"     394"
"Total male and female";"0 to 64 years";"2020 week 40";"     434"
"Total male and female";"0 to 64 years";"2020 week 41";"     379"
"Total male and female";"0 to 64 years";"2020 week 42";"     432"
"Total male and female";"0 to 64 years";"2020 week 43";"     425"
"Total male and female";"0 to 64 years";"2020 week 44";"     409"
"Total male and female";"0 to 64 years";"2020 week 45";"     434"
"Total male and female";"0 to 64 years";"2020 week 46";"     435"
"Total male and female";"0 to 64 years";"2020 week 47";"     417"
"Total male and female";"0 to 64 years";"2020 week 48";"     436"
"Total male and female";"0 to 64 years";"2020 week 49";"     446"
"Total male and female";"0 to 64 years";"2020 week 50";"     464"
"Total male and female";"0 to 64 years";"2020 week 51";"     472"
"Total male and female";"0 to 64 years";"2020 week 52";"     432"
"Total male and female";"0 to 64 years";"2020 week 53 (4 days)";"     274"
"Total male and female";"0 to 64 years";"2020";"   21683"
"Total male and female";"0 to 64 years";"2021 week 0 (3 days)";"     190"
"Total male and female";"0 to 64 years";"2021 week 1";"     431"
"Total male and female";"0 to 64 years";"2021 week 2";"     410"
"Total male and female";"0 to 64 years";"2021 week 3";"     427"
"Total male and female";"0 to 64 years";"2021 week 4";"     401"
"Total male and female";"0 to 64 years";"2021 week 5";"     380"
"Total male and female";"0 to 64 years";"2021 week 6";"     410"
"Total male and female";"0 to 64 years";"2021 week 7";"     480"
"Total male and female";"0 to 64 years";"2021 week 8";"     403"
"Total male and female";"0 to 64 years";"2021 week 9";"     417"
"Total male and female";"0 to 64 years";"2021 week 10";"     416"
"Total male and female";"0 to 64 years";"2021 week 11";"     414"
"Total male and female";"0 to 64 years";"2021 week 12";"     389"
"Total male and female";"0 to 64 years";"2021 week 13";"     413"
"Total male and female";"0 to 64 years";"2021 week 14";"     450"
"Total male and female";"0 to 64 years";"2021 week 15";"     440"
"Total male and female";"0 to 64 years";"2021 week 16";"     454"
"Total male and female";"0 to 64 years";"2021 week 17";"     434"
"Total male and female";"0 to 64 years";"2021 week 18";"     412"
"Total male and female";"0 to 64 years";"2021 week 19";"     496"
"Total male and female";"0 to 64 years";"2021 week 20";"     415"
"Total male and female";"0 to 64 years";"2021 week 21";"     396"
"Total male and female";"0 to 64 years";"2021 week 22";"     439"
"Total male and female";"0 to 64 years";"2021 week 23";"     403"
"Total male and female";"0 to 64 years";"2021 week 24";"     411"
"Total male and female";"0 to 64 years";"2021 week 25";"     399"
"Total male and female";"0 to 64 years";"2021 week 26";"     425"
"Total male and female";"0 to 64 years";"2021 week 27";"     414"
"Total male and female";"0 to 64 years";"2021 week 28";"     409"
"Total male and female";"0 to 64 years";"2021 week 29";"     379"
"Total male and female";"0 to 64 years";"2021 week 30";"     399"
"Total male and female";"0 to 64 years";"2021 week 31";"     416"
"Total male and female";"0 to 64 years";"2021 week 32";"     416"
"Total male and female";"0 to 64 years";"2021 week 33";"     409"
"Total male and female";"0 to 64 years";"2021 week 34";"     445"
"Total male and female";"0 to 64 years";"2021 week 35";"     427"
"Total male and female";"0 to 64 years";"2021 week 36";"     437"
"Total male and female";"0 to 64 years";"2021 week 37";"     429"
"Total male and female";"0 to 64 years";"2021 week 38";"     439"
"Total male and female";"0 to 64 years";"2021 week 39";"     439"
"Total male and female";"0 to 64 years";"2021 week 40";"     434"
"Total male and female";"0 to 64 years";"2021 week 41";"     444"
"Total male and female";"0 to 64 years";"2021 week 42";"     447"
"Total male and female";"0 to 64 years";"2021 week 43";"     445"
"Total male and female";"0 to 64 years";"2021 week 44";"     456"
"Total male and female";"0 to 64 years";"2021 week 45";"     475"
"Total male and female";"0 to 64 years";"2021 week 46";"     446"
"Total male and female";"0 to 64 years";"2021 week 47";"     497"
"Total male and female";"0 to 64 years";"2021 week 48";"     495"
"Total male and female";"0 to 64 years";"2021 week 49";"     536"
"Total male and female";"0 to 64 years";"2021 week 50";"     483"
"Total male and female";"0 to 64 years";"2021 week 51";"     507"
"Total male and female";"0 to 64 years";"2021 week 52 (5 days)";"     384"
"Total male and female";"0 to 64 years";"2021";"   22662"
"Total male and female";"0 to 64 years";"2022 week 0 (2 days)";"     116"
"Total male and female";"0 to 64 years";"2022 week 1";"     463"
"Total male and female";"0 to 64 years";"2022 week 2";"     387"
"Total male and female";"0 to 64 years";"2022 week 3";"     399"
"Total male and female";"0 to 64 years";"2022 week 4";"     359"
"Total male and female";"0 to 64 years";"2022 week 5";"     454"
"Total male and female";"0 to 64 years";"2022 week 6";"     386"
"Total male and female";"0 to 64 years";"2022 week 7";"     377"
"Total male and female";"0 to 64 years";"2022 week 8";"     394"
"Total male and female";"0 to 64 years";"2022 week 9";"     407"
"Total male and female";"0 to 64 years";"2022 week 10";"     453"
"Total male and female";"0 to 64 years";"2022 week 11";"     417"
"Total male and female";"0 to 64 years";"2022 week 12";"     437"
"Total male and female";"0 to 64 years";"2022 week 13";"     453"
"Total male and female";"0 to 64 years";"2022 week 14";"     420"
"Total male and female";"0 to 64 years";"2022 week 15";"     436"
"Total male and female";"0 to 64 years";"2022 week 16";"     424"
"Total male and female";"0 to 64 years";"2022 week 17";"     382"
"Total male and female";"0 to 64 years";"2022 week 18";"     426"
"Total male and female";"0 to 64 years";"2022 week 19";"     411"
"Total male and female";"0 to 64 years";"2022 week 20";"     391"
"Total male and female";"0 to 64 years";"2022 week 21";"     421"
"Total male and female";"0 to 64 years";"2022 week 22";"     403"
"Total male and female";"0 to 64 years";"2022 week 23";"     414"
"Total male and female";"0 to 64 years";"2022 week 24";"     389"
"Total male and female";"0 to 64 years";"2022 week 25";"     412"
"Total male and female";"0 to 64 years";"2022 week 26";"     436"
"Total male and female";"0 to 64 years";"2022 week 27";"     384"
"Total male and female";"0 to 64 years";"2022 week 28";"     455"
"Total male and female";"0 to 64 years";"2022 week 29";"     402"
"Total male and female";"0 to 64 years";"2022 week 30";"     396"
"Total male and female";"0 to 64 years";"2022 week 31";"     393"
"Total male and female";"0 to 64 years";"2022 week 32";"     412"
"Total male and female";"0 to 64 years";"2022 week 33";"     421"
"Total male and female";"0 to 64 years";"2022 week 34";"     452"
"Total male and female";"0 to 64 years";"2022 week 35";"     419"
"Total male and female";"0 to 64 years";"2022 week 36";"     411"
"Total male and female";"0 to 64 years";"2022 week 37";"     404"
"Total male and female";"0 to 64 years";"2022 week 38";"     438"
"Total male and female";"0 to 64 years";"2022 week 39";"     371"
"Total male and female";"0 to 64 years";"2022 week 40";"     401"
"Total male and female";"0 to 64 years";"2022 week 41";"     441"
"Total male and female";"0 to 64 years";"2022 week 42";"     448"
"Total male and female";"0 to 64 years";"2022 week 43";"     400"
"Total male and female";"0 to 64 years";"2022 week 44";"     443"
"Total male and female";"0 to 64 years";"2022 week 45";"     386"
"Total male and female";"0 to 64 years";"2022 week 46";"     396"
"Total male and female";"0 to 64 years";"2022 week 47";"     478"
"Total male and female";"0 to 64 years";"2022 week 48";"     457"
"Total male and female";"0 to 64 years";"2022 week 49";"     471"
"Total male and female";"0 to 64 years";"2022 week 50";"     505"
"Total male and female";"0 to 64 years";"2022 week 51";"     481"
"Total male and female";"0 to 64 years";"2022 week 52 (6 days)";"     458"
"Total male and female";"0 to 64 years";"2022";"   21990"
"Total male and female";"0 to 64 years";"2023 week 0 (1 day)";"      64"
"Total male and female";"0 to 64 years";"2023 week 1";"     468"
"Total male and female";"0 to 64 years";"2023 week 2";"     431"
"Total male and female";"0 to 64 years";"2023 week 3";"     416"
"Total male and female";"0 to 64 years";"2023 week 4";"     409"
"Total male and female";"0 to 64 years";"2023 week 5";"     467"
"Total male and female";"0 to 64 years";"2023 week 6";"     408"
"Total male and female";"0 to 64 years";"2023 week 7";"     432"
"Total male and female";"0 to 64 years";"2023 week 8";"     431"
"Total male and female";"0 to 64 years";"2023 week 9";"     425"
"Total male and female";"0 to 64 years";"2023 week 10";"     467"
"Total male and female";"0 to 64 years";"2023 week 11";"     432"
"Total male and female";"0 to 64 years";"2023 week 12";"     402"
"Total male and female";"0 to 64 years";"2023 week 13";"     421"
"Total male and female";"0 to 64 years";"2023 week 14";"     432"
"Total male and female";"0 to 64 years";"2023 week 15";"     394"
"Total male and female";"0 to 64 years";"2023 week 16";"     450"
"Total male and female";"0 to 64 years";"2023 week 17";"     360"
"Total male and female";"0 to 64 years";"2023 week 18";"     394"
"Total male and female";"0 to 64 years";"2023 week 19";"     366"
"Total male and female";"0 to 64 years";"2023 week 20";"     347"
"Total male and female";"0 to 64 years";"2023 week 21";"     387"
"Total male and female";"0 to 64 years";"2023 week 22";"     365"
"Total male and female";"0 to 64 years";"2023 week 23";"     394"
"Total male and female";"0 to 64 years";"2023 week 24";"     425"
"Total male and female";"0 to 64 years";"2023 week 25";"     369"
"Total male and female";"0 to 64 years";"2023 week 26";"     369"
"Total male and female";"0 to 64 years";"2023 week 27";"     349"
"Total male and female";"0 to 64 years";"2023 week 28";"     378"
"Total male and female";"0 to 64 years";"2023 week 29";"     363"
"Total male and female";"0 to 64 years";"2023 week 30";"     355"
"Total male and female";"0 to 64 years";"2023 week 31";"     376"
"Total male and female";"0 to 64 years";"2023 week 32";"     429"
"Total male and female";"0 to 64 years";"2023 week 33";"     396"
"Total male and female";"0 to 64 years";"2023 week 34";"     399"
"Total male and female";"0 to 64 years";"2023 week 35";"     420"
"Total male and female";"0 to 64 years";"2023 week 36";"     362"
"Total male and female";"0 to 64 years";"2023 week 37";"     371"
"Total male and female";"0 to 64 years";"2023 week 38";"     415"
"Total male and female";"0 to 64 years";"2023 week 39";"     459"
"Total male and female";"0 to 64 years";"2023 week 40";"     416"
"Total male and female";"0 to 64 years";"2023 week 41";"     399"
"Total male and female";"0 to 64 years";"2023 week 42";"     406"
"Total male and female";"0 to 64 years";"2023 week 43";"     471"
"Total male and female";"0 to 64 years";"2023 week 44";"     398"
"Total male and female";"0 to 64 years";"2023 week 45";"     455"
"Total male and female";"0 to 64 years";"2023 week 46";"     420"
"Total male and female";"0 to 64 years";"2023 week 47";"     403"
"Total male and female";"0 to 64 years";"2023 week 48";"     402"
"Total male and female";"0 to 64 years";"2023 week 49";"     450"
"Total male and female";"0 to 64 years";"2023 week 50";"     472"
"Total male and female";"0 to 64 years";"2023 week 51";"     427"
"Total male and female";"0 to 64 years";"2023 week 52";"     428"
"Total male and female";"0 to 64 years";"2023";"   21344"
"Total male and female";"0 to 64 years";"2024 week 1";"     445"
"Total male and female";"0 to 64 years";"2024 week 2";"     429"
"Total male and female";"0 to 64 years";"2024 week 3";"     425"
"Total male and female";"0 to 64 years";"2024 week 4";"     456"
"Total male and female";"0 to 64 years";"2024 week 5";"     410"
"Total male and female";"0 to 64 years";"2024 week 6";"     448"
"Total male and female";"0 to 64 years";"2024 week 7";"     422"
"Total male and female";"0 to 64 years";"2024 week 8";"     406"
"Total male and female";"0 to 64 years";"2024 week 9";"     414"
"Total male and female";"0 to 64 years";"2024 week 10";"     423"
"Total male and female";"0 to 64 years";"2024 week 11";"     420"
"Total male and female";"0 to 64 years";"2024 week 12";"     401"
"Total male and female";"0 to 64 years";"2024 week 13";"     415"
"Total male and female";"0 to 64 years";"2024 week 14";"     386"
"Total male and female";"0 to 64 years";"2024 week 15";"     449"
"Total male and female";"0 to 64 years";"2024 week 16";"     416"
"Total male and female";"0 to 64 years";"2024 week 17";"     412"
"Total male and female";"0 to 64 years";"2024 week 18";"     417"
"Total male and female";"0 to 64 years";"2024 week 19";"     368"
"Total male and female";"0 to 64 years";"2024 week 20";"     366"
"Total male and female";"0 to 64 years";"2024 week 21";"     378"
"Total male and female";"0 to 64 years";"2024 week 22";"     383"
"Total male and female";"0 to 64 years";"2024 week 23";"     370"
"Total male and female";"0 to 64 years";"2024 week 24";"     392"
"Total male and female";"0 to 64 years";"2024 week 25";"     389"
"Total male and female";"0 to 64 years";"2024 week 26";"     347"
"Total male and female";"0 to 64 years";"2024 week 27";"     377"
"Total male and female";"0 to 64 years";"2024 week 28";"     437"
"Total male and female";"0 to 64 years";"2024 week 29";"     376"
"Total male and female";"0 to 64 years";"2024 week 30";"     396"
"Total male and female";"0 to 64 years";"2024 week 31";"     423"
"Total male and female";"0 to 64 years";"2024 week 32";"     411"
"Total male and female";"0 to 64 years";"2024 week 33";"     386"
"Total male and female";"0 to 64 years";"2024 week 34";"     369"
"Total male and female";"0 to 64 years";"2024 week 35";"     423"
"Total male and female";"0 to 64 years";"2024 week 36";"     410"
"Total male and female";"0 to 64 years";"2024 week 37";"     384"
"Total male and female";"0 to 64 years";"2024 week 38";"     364"
"Total male and female";"0 to 64 years";"2024 week 39";"     382"
"Total male and female";"0 to 64 years";"2024 week 40";"     386"
"Total male and female";"0 to 64 years";"2024 week 41";"     425"
"Total male and female";"0 to 64 years";"2024 week 42";"     385"
"Total male and female";"0 to 64 years";"2024 week 43";"     391"
"Total male and female";"0 to 64 years";"2024 week 44";"     409"
"Total male and female";"0 to 64 years";"2024 week 45";"     416"
"Total male and female";"0 to 64 years";"2024 week 46";"     402"
"Total male and female";"0 to 64 years";"2024 week 47";"     411"
"Total male and female";"0 to 64 years";"2024 week 48";"     447"
"Total male and female";"0 to 64 years";"2024 week 49";"     428"
"Total male and female";"0 to 64 years";"2024 week 50";"     436"
"Total male and female";"0 to 64 years";"2024 week 51";"     421"
"Total male and female";"0 to 64 years";"2024 week 52";"     422"
"Total male and female";"0 to 64 years";"2024 week 53";"     126"
"Total male and female";"0 to 64 years";"2024";"   21230"
"Total male and female";"0 to 64 years";"2025 week 1 (5 days)*";"     296"
"Total male and female";"0 to 64 years";"2025 week 2*";"     425"
"Total male and female";"0 to 64 years";"2025 week 3*";"     394"
"Total male and female";"0 to 64 years";"2025 week 4*";"     484"
"Total male and female";"0 to 64 years";"2025 week 5*";"     468"
"Total male and female";"0 to 64 years";"2025 week 6*";"     448"
"Total male and female";"0 to 64 years";"2025 week 7*";"     397"
"Total male and female";"0 to 64 years";"2025 week 8*";"     437"
"Total male and female";"0 to 64 years";"2025 week 9*";"     436"
"Total male and female";"0 to 64 years";"2025 week 10*";"     369"
"Total male and female";"0 to 64 years";"2025 week 11*";"     425"
"Total male and female";"0 to 64 years";"2025 week 12*";"     397"
"Total male and female";"0 to 64 years";"2025 week 13*";"     407"
"Total male and female";"0 to 64 years";"2025 week 14*";"     403"
"Total male and female";"0 to 64 years";"2025 week 15*";"     327"
"Total male and female";"0 to 64 years";"2025 week 16*";"     353"
"Total male and female";"0 to 64 years";"2025 week 17*";"     366"
"Total male and female";"0 to 64 years";"2025 week 18*";"     375"
"Total male and female";"0 to 64 years";"2025 week 19*";"     377"
"Total male and female";"0 to 64 years";"2025 week 20*";"     357"
"Total male and female";"0 to 64 years";"2025 week 21*";"     407"
"Total male and female";"0 to 64 years";"2025 week 22*";"     373"
"Total male and female";"65 to 79 years";"1971 week 0 (3 days)";"     434"
"Total male and female";"65 to 79 years";"1971 week 1";"     974"
"Total male and female";"65 to 79 years";"1971 week 2";"     935"
"Total male and female";"65 to 79 years";"1971 week 3";"     893"
"Total male and female";"65 to 79 years";"1971 week 4";"     848"
"Total male and female";"65 to 79 years";"1971 week 5";"     821"
"Total male and female";"65 to 79 years";"1971 week 6";"     813"
"Total male and female";"65 to 79 years";"1971 week 7";"     864"
"Total male and female";"65 to 79 years";"1971 week 8";"     824"
"Total male and female";"65 to 79 years";"1971 week 9";"     891"
"Total male and female";"65 to 79 years";"1971 week 10";"     900"
"Total male and female";"65 to 79 years";"1971 week 11";"     919"
"Total male and female";"65 to 79 years";"1971 week 12";"     838"
"Total male and female";"65 to 79 years";"1971 week 13";"     858"
"Total male and female";"65 to 79 years";"1971 week 14";"     844"
"Total male and female";"65 to 79 years";"1971 week 15";"     889"
"Total male and female";"65 to 79 years";"1971 week 16";"     807"
"Total male and female";"65 to 79 years";"1971 week 17";"     882"
"Total male and female";"65 to 79 years";"1971 week 18";"     857"
"Total male and female";"65 to 79 years";"1971 week 19";"     875"
"Total male and female";"65 to 79 years";"1971 week 20";"     750"
"Total male and female";"65 to 79 years";"1971 week 21";"     767"
"Total male and female";"65 to 79 years";"1971 week 22";"     858"
"Total male and female";"65 to 79 years";"1971 week 23";"     811"
"Total male and female";"65 to 79 years";"1971 week 24";"     819"
"Total male and female";"65 to 79 years";"1971 week 25";"     810"
"Total male and female";"65 to 79 years";"1971 week 26";"     793"
"Total male and female";"65 to 79 years";"1971 week 27";"     903"
"Total male and female";"65 to 79 years";"1971 week 28";"     776"
"Total male and female";"65 to 79 years";"1971 week 29";"     760"
"Total male and female";"65 to 79 years";"1971 week 30";"     817"
"Total male and female";"65 to 79 years";"1971 week 31";"     748"
"Total male and female";"65 to 79 years";"1971 week 32";"     779"
"Total male and female";"65 to 79 years";"1971 week 33";"     786"
"Total male and female";"65 to 79 years";"1971 week 34";"     701"
"Total male and female";"65 to 79 years";"1971 week 35";"     801"
"Total male and female";"65 to 79 years";"1971 week 36";"     774"
"Total male and female";"65 to 79 years";"1971 week 37";"     818"
"Total male and female";"65 to 79 years";"1971 week 38";"     838"
"Total male and female";"65 to 79 years";"1971 week 39";"     780"
"Total male and female";"65 to 79 years";"1971 week 40";"     853"
"Total male and female";"65 to 79 years";"1971 week 41";"     802"
"Total male and female";"65 to 79 years";"1971 week 42";"     932"
"Total male and female";"65 to 79 years";"1971 week 43";"     853"
"Total male and female";"65 to 79 years";"1971 week 44";"     849"
"Total male and female";"65 to 79 years";"1971 week 45";"     881"
"Total male and female";"65 to 79 years";"1971 week 46";"     848"
"Total male and female";"65 to 79 years";"1971 week 47";"     897"
"Total male and female";"65 to 79 years";"1971 week 48";"     916"
"Total male and female";"65 to 79 years";"1971 week 49";"     864"
"Total male and female";"65 to 79 years";"1971 week 50";"     894"
"Total male and female";"65 to 79 years";"1971 week 51";"    1038"
"Total male and female";"65 to 79 years";"1971 week 52 (5 days)";"     709"
"Total male and female";"65 to 79 years";"1971";"   44191"
"Total male and female";"65 to 79 years";"1972 week 0 (2 days)";"     308"
